From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P97433	P97433	reviewed	ARG28_MOUSE	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor) (Rho-interacting protein 2)	Arhgef28 Kiaa1998 Rgnef Rhoip2 Rip2	Mus musculus (Mouse)	1700
Q7Z417	Q7Z417	reviewed	NUFP2_HUMAN	FMR1-interacting protein NUFIP2 (82 kDa FMRP-interacting protein) (82-FIP) (Cell proliferation-inducing gene 1 protein) (FMRP-interacting protein 2) (Nuclear FMR1-interacting protein 2)	NUFIP2 KIAA1321 PIG1	Homo sapiens (Human)	695
E7ERC4	E7ERC4	unreviewed	E7ERC4_HUMAN	Small RNA binding exonuclease protection factor La	SSB	Homo sapiens (Human)	184
H0YB86	H0YB86	unreviewed	H0YB86_HUMAN	Poly(A) binding protein cytoplasmic 1	PABPC1	Homo sapiens (Human)	165
P37108	P37108	reviewed	SRP14_HUMAN	Signal recognition particle 14 kDa protein (SRP14) (18 kDa Alu RNA-binding protein)	SRP14	Homo sapiens (Human)	136
Q9VSC1	Q9VSC1	reviewed	SRP09_DROME	Signal recognition particle 9 kDa protein (SRP9)	Srp9 CG8268	Drosophila melanogaster (Fruit fly)	77
Q96QC0	Q96QC0	reviewed	PP1RA_HUMAN	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99)	PPP1R10 CAT53 FB19 PNUTS	Homo sapiens (Human)	940
Q8TAD8	Q8TAD8	reviewed	SNIP1_HUMAN	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	SNIP1	Homo sapiens (Human)	396
P60842	P60842	reviewed	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
A0A087WZM1	A0A087WZM1	unreviewed	A0A087WZM1_HUMAN	TAR DNA binding protein	TARDBP	Homo sapiens (Human)	78
B5BU30	B5BU30	unreviewed	B5BU30_HUMAN	Transcription factor 7-like 2	TCF7L2	Homo sapiens (Human)	596
G3UXT4	G3UXT4	unreviewed	G3UXT4_MOUSE	Protein regulator of cytokinesis 1	Prc1	Mus musculus (Mouse)	235
O95931	O95931	reviewed	CBX7_HUMAN	Chromobox protein homolog 7	CBX7	Homo sapiens (Human)	251
Q15022	Q15022	reviewed	SUZ12_HUMAN	Polycomb protein SUZ12 (Chromatin precipitated E2F target 9 protein) (ChET 9 protein) (Joined to JAZF1 protein) (Suppressor of zeste 12 protein homolog)	SUZ12 CHET9 JJAZ1 KIAA0160	Homo sapiens (Human)	739
Q27274	Q27274	reviewed	RO60_CAEEL	RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein homolog)	rop-1 C12D8.11	Caenorhabditis elegans	643
Q04637	Q04637	reviewed	IF4G1_HUMAN	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
P55884	P55884	reviewed	EIF3B_HUMAN	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	EIF3B EIF3S9	Homo sapiens (Human)	814
P23588	P23588	reviewed	IF4B_HUMAN	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	611
Q9UKA9	Q9UKA9	reviewed	PTBP2_HUMAN	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	PTBP2 NPTB PTB PTBLP	Homo sapiens (Human)	531
P0A1R0	P0A1R0	reviewed	HFQ_SALTY	RNA-binding protein Hfq	hfq STM4361	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	102
P0ACF0	P0ACF0	reviewed	DBHA_ECOLI	DNA-binding protein HU-alpha (HU-2) (NS2)	hupA b4000 JW3964	Escherichia coli (strain K12)	90
P61964	P61964	reviewed	WDR5_HUMAN	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WDR5 BIG3	Homo sapiens (Human)	334
Q15910	Q15910	reviewed	EZH2_HUMAN	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6)	EZH2 KMT6	Homo sapiens (Human)	746
L8ECD2	L8ECD2	unreviewed	L8ECD2_HUMAN	Alternative protein IGF2BP1	IGF2BP1	Homo sapiens (Human)	43
A0A024R5D9	A0A024R5D9	unreviewed	A0A024R5D9_HUMAN	Splicing factor 1	SF1 hCG_23378	Homo sapiens (Human)	638
B1AKI9	B1AKI9	reviewed	ISM1_HUMAN	Isthmin-1	ISM1 C20orf82 ISM	Homo sapiens (Human)	464
Q00839	Q00839	reviewed	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825
Q9Z2E2	Q9Z2E2	reviewed	MBD1_MOUSE	Methyl-CpG-binding domain protein 1 (Methyl-CpG-binding protein MBD1)	Mbd1	Mus musculus (Mouse)	636
Q15365	Q15365	reviewed	PCBP1_HUMAN	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)	PCBP1	Homo sapiens (Human)	356
O60341	O60341	reviewed	KDM1A_HUMAN	Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A)	KDM1A AOF2 KDM1 KIAA0601 LSD1	Homo sapiens (Human)	852
Q03164	Q03164	reviewed	KMT2A_HUMAN	Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.364) (ALL-1) (CXXC-type zinc finger protein 7) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)]	KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1	Homo sapiens (Human)	3969
P48810	P48810	reviewed	RB87F_DROME	Heterogeneous nuclear ribonucleoprotein 87F (HRP36.1 protein) (Protein P11)	Hrb87F hrp36 CG12749	Drosophila melanogaster (Fruit fly)	385
Q08473	Q08473	reviewed	SQD_DROME	RNA-binding protein squid (Heterogeneous nuclear ribonucleoprotein 40) (HNRNP 40)	sqd hrp40 CG16901	Drosophila melanogaster (Fruit fly)	344
Q7KA80	Q7KA80	unreviewed	Q7KA80_DROME	Heterogeneous nuclear ribonucleoprotein (HnRNP)	HnRNP-K bl Hrb57A CG13425	Drosophila melanogaster (Fruit fly)	496
O14746	O14746	reviewed	TERT_HUMAN	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	TERT EST2 TCS1 TRT	Homo sapiens (Human)	1132
O60832	O60832	reviewed	DKC1_HUMAN	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
O95793	O95793	reviewed	STAU1_HUMAN	Double-stranded RNA-binding protein Staufen homolog 1	STAU1 STAU	Homo sapiens (Human)	577
P07910	P07910	reviewed	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	Homo sapiens (Human)	306
Q9BYF5	Q9BYF5	unreviewed	Q9BYF5_HUMAN	Ribosomal protein L22	RPL22	Homo sapiens (Human)	20
Q5XKB2	Q5XKB2	unreviewed	Q5XKB2_MOUSE	Telomerase associated protein 1	Tep1	Mus musculus (Mouse)	2629
Q6IPF2	Q6IPF2	unreviewed	Q6IPF2_HUMAN	Heterogeneous nuclear ribonucleoprotein A1	HNRPA1	Homo sapiens (Human)	320
Q96BK5	Q96BK5	reviewed	PINX1_HUMAN	PIN2/TERF1-interacting telomerase inhibitor 1 (Liver-related putative tumor suppressor) (Pin2-interacting protein X1) (Protein 67-11-3) (TRF1-interacting protein 1)	PINX1 LPTL LPTS	Homo sapiens (Human)	328
P10155	P10155	reviewed	RO60_HUMAN	RNA-binding protein RO60 (60 kDa SS-A/Ro ribonucleoprotein) (60 kDa Ro protein) (60 kDa ribonucleoprotein Ro) (RoRNP) (Ro 60 kDa autoantigen) (Ro60 autoantigen) (Sjoegren syndrome antigen A2) (Sjoegren syndrome type A antigen) (SS-A) (TROVE domain family member 2)	RO60 SSA2 TROVE2	Homo sapiens (Human)	538
B3KM80	B3KM80	unreviewed	B3KM80_HUMAN	Nucleolin	NCL hCG_33980	Homo sapiens (Human)	536
P61979	P61979	reviewed	HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Hnrnpk Hnrpk	Mus musculus (Mouse)	463
P26358	P26358	reviewed	DNMT1_HUMAN	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)	DNMT1 AIM CXXC9 DNMT	Homo sapiens (Human)	1616
Q9Z148	Q9Z148	reviewed	EHMT2_MOUSE	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Protein G9a)	Ehmt2 Bat8 G9a Ng36	Mus musculus (Mouse)	1263
Q13185	Q13185	reviewed	CBX3_HUMAN	Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (Modifier 2 protein)	CBX3	Homo sapiens (Human)	183
A2AC19	A2AC19	unreviewed	A2AC19_MOUSE	Histone-lysine N-methyltransferase (EC 2.1.1.355)	Suv39h1	Mus musculus (Mouse)	413
Q9NQR1	Q9NQR1	reviewed	KMT5A_HUMAN	N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.361) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8)	KMT5A PRSET7 SET07 SET8 SETD8	Homo sapiens (Human)	393
P83916	P83916	reviewed	CBX1_HUMAN	Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta)	CBX1 CBX	Homo sapiens (Human)	185
Q8VCQ4	Q8VCQ4	unreviewed	Q8VCQ4_MOUSE	Jarid1b protein	Kdm5b Jarid1b	Mus musculus (Mouse)	437
Q9CQJ4	Q9CQJ4	reviewed	RING2_MOUSE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Rnf2 DinG Ring1b	Mus musculus (Mouse)	336
O88974	O88974	reviewed	SETB1_MOUSE	Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.366) (ERG-associated protein with SET domain) (ESET) (SET domain bifurcated 1)	Setdb1 Eset Kiaa0067	Mus musculus (Mouse)	1307
O09106	O09106	reviewed	HDAC1_MOUSE	Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein decrotonylase HDAC1) (EC 3.5.1.-)	Hdac1	Mus musculus (Mouse)	482
Q8CGG4	Q8CGG4	unreviewed	Q8CGG4_MOUSE	Jarid1c protein	Kdm5c Jarid1c	Mus musculus (Mouse)	263
Q8CHK4	Q8CHK4	reviewed	KAT5_MOUSE	Histone acetyltransferase KAT5 (EC 2.3.1.48) (60 kDa Tat-interactive protein) (Tip60) (Histone acetyltransferase HTATIP) (Lysine acetyltransferase 5) (Protein 2-hydroxyisobutyryltransferase KAT5) (EC 2.3.1.-) (Protein acetyltransferase KAT5) (EC 2.3.1.-) (Protein crotonyltransferase KAT5) (EC 2.3.1.-)	Kat5 Htatip Tip60	Mus musculus (Mouse)	513
H0YJU4	H0YJU4	unreviewed	H0YJU4_HUMAN	YY1 transcription factor	YY1	Homo sapiens (Human)	123
Q96QR8	Q96QR8	reviewed	PURB_HUMAN	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB	Homo sapiens (Human)	312
Q15717	Q15717	reviewed	ELAV1_HUMAN	ELAV-like protein 1 (Hu-antigen R) (HuR)	ELAVL1 HUR	Homo sapiens (Human)	326
P40337	P40337	reviewed	VHL_HUMAN	von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL	Homo sapiens (Human)	213
P02768	P02768	reviewed	ALBU_HUMAN	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609
P07355	P07355	reviewed	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	339
O15042	O15042	reviewed	SR140_HUMAN	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	U2SURP KIAA0332 SR140	Homo sapiens (Human)	1029
Q15233	Q15233	reviewed	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (p54(nrb)) (p54nrb) (55 kDa nuclear protein) (NMT55) (DNA-binding p52/p100 complex, 52 kDa subunit)	NONO NRB54	Homo sapiens (Human)	471
P15692	P15692	reviewed	VEGFA_HUMAN	Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF)	VEGFA VEGF	Homo sapiens (Human)	232
P41221	P41221	reviewed	WNT5A_HUMAN	Protein Wnt-5a	WNT5A	Homo sapiens (Human)	380
P08253	P08253	reviewed	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660
P51532	P51532	reviewed	SMCA4_HUMAN	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	Homo sapiens (Human)	1647
P19525	P19525	reviewed	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551
P51531	P51531	reviewed	SMCA2_HUMAN	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	SMARCA2 BAF190B BRM SNF2A SNF2L2	Homo sapiens (Human)	1590
Q8WXF1	Q8WXF1	reviewed	PSPC1_HUMAN	Paraspeckle component 1 (Paraspeckle protein 1)	PSPC1 PSP1	Homo sapiens (Human)	523
P35637	P35637	reviewed	FUS_HUMAN	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS	Homo sapiens (Human)	526
Q5S007	Q5S007	reviewed	LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)	LRRK2 PARK8	Homo sapiens (Human)	2527
Q96AV8	Q96AV8	reviewed	E2F7_HUMAN	Transcription factor E2F7 (E2F-7)	E2F7	Homo sapiens (Human)	911
O75817	O75817	reviewed	POP7_HUMAN	Ribonuclease P protein subunit p20 (RNaseP protein p20) (Ribonucleases P/MRP protein subunit POP7 homolog) (hPOP7)	POP7 RPP20	Homo sapiens (Human)	140
O95707	O95707	reviewed	RPP29_HUMAN	Ribonuclease P protein subunit p29 (hPOP4)	POP4 RPP29	Homo sapiens (Human)	220
P78345	P78345	reviewed	RPP38_HUMAN	Ribonuclease P protein subunit p38 (RNaseP protein p38)	RPP38	Homo sapiens (Human)	283
Q99575	Q99575	reviewed	POP1_HUMAN	Ribonucleases P/MRP protein subunit POP1 (hPOP1)	POP1 KIAA0061	Homo sapiens (Human)	1024
Q9BUL9	Q9BUL9	reviewed	RPP25_HUMAN	Ribonuclease P protein subunit p25 (RNase P protein subunit p25)	RPP25	Homo sapiens (Human)	199
Q9H633	Q9H633	reviewed	RPP21_HUMAN	Ribonuclease P protein subunit p21 (RNaseP protein p21) (Ribonuclease P/MRP 21 kDa subunit) (Ribonucleoprotein V)	RPP21 C6orf135 CAT60	Homo sapiens (Human)	154
P30620	P30620	reviewed	PSO2_YEAST	DNA cross-link repair protein PSO2/SNM1 (EC 3.1.-.-)	PSO2 SNM1 YMR137C YM9375.06C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	661
G5EBF5	G5EBF5	unreviewed	G5EBF5_CAEEL	RNA interference promoting factor	rde-4 CELE_T20G5.11 T20G5.11	Caenorhabditis elegans	385
G5EDI8	G5EDI8	unreviewed	G5EDI8_CAEEL	Dicer-related helicase	drh-1 CELE_F15B10.2 F15B10.2	Caenorhabditis elegans	1037
P0A7Y8	P0A7Y8	reviewed	RNPA_ECOLI	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA b3704 JW3681	Escherichia coli (strain K12)	119
P50534	P50534	reviewed	MSL2_DROME	E3 ubiquitin-protein ligase msl-2 (EC 2.3.2.-) (E3 ubiquitin-protein transferase msl-2) (Protein male-specific lethal-2)	msl-2 CG3241	Drosophila melanogaster (Fruit fly)	773
P40567	P40567	reviewed	MSL1_YEAST	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	MSL1 YIR009W YIB9W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111
Q9VVW5	Q9VVW5	reviewed	DUSK3_DROME	Dual specificity protein phosphatase Mpk3 (EC 3.1.3.16) (EC 3.1.3.48) (Drosophila MKP3) (DMKP3) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	Mkp3 CG14080	Drosophila melanogaster (Fruit fly)	411
Q9W0Y8	Q9W0Y8	reviewed	SCN60_DROME	Sodium channel protein 60E (Drosophila ion channel 60) (Drosophila sodium channel 1) (Protein smell-impaired 60E) (Sodium channel 2) (DmNav2)	NaCP60E DIC60 DSC1 smi60E CG34405	Drosophila melanogaster (Fruit fly)	2844
B7Z0E2	B7Z0E2	unreviewed	B7Z0E2_DROME	FI18812p1 (Upstream of N-ras, isoform B) (Upstream of N-ras, isoform D) (Upstream of N-ras, isoform E)	Unr BcDNA:LD13080 CR32028 Dmel\CG7015 dUNR dUnr dunr MRE30 UNR unr Unr-RB CG7015 Dmel_CG7015	Drosophila melanogaster (Fruit fly)	1057
P70372	P70372	reviewed	ELAV1_MOUSE	ELAV-like protein 1 (Elav-like generic protein) (Hu-antigen R) (HuR) (MelG)	Elavl1 Elra Hua	Mus musculus (Mouse)	326
Q12824	Q12824	reviewed	SNF5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (BRG1-associated factor 47) (BAF47) (Integrase interactor 1 protein) (SNF5 homolog) (hSNF5)	SMARCB1 BAF47 INI1 SNF5L1	Homo sapiens (Human)	385
P33399	P33399	reviewed	LHP1_YEAST	La protein homolog (La autoantigen homolog) (La ribonucleoprotein)	LHP1 LAH1 YLA1 YDL051W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275
Q00416	Q00416	reviewed	SEN1_YEAST	Helicase SEN1 (EC 3.6.4.-) (tRNA-splicing endonuclease positive effector)	SEN1 YLR430W L9576.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2231
P38996	P38996	reviewed	NAB3_YEAST	Nuclear polyadenylated RNA-binding protein 3	NAB3 HMD1 YPL190C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	802
P53617	P53617	reviewed	NRD1_YEAST	Protein NRD1	NRD1 YNL251C N0868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	575
Q12499	Q12499	reviewed	NOP58_YEAST	Nucleolar protein 58 (Nucleolar protein 5)	NOP58 NOP5 YOR310C O6108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
P43634	P43634	reviewed	CHA4_YEAST	Activatory protein CHA4	CHA4 SIL2 SIL3 YLR098C L8004.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	648
P0AG67	P0AG67	reviewed	RS1_ECOLI	30S ribosomal protein S1 (Bacteriophage Q beta RNA-directed RNA polymerase subunit I) (Small ribosomal subunit protein bS1)	rpsA ssyF b0911 JW0894	Escherichia coli (strain K12)	557
P17214	P17214	reviewed	EST1_YEAST	Telomere elongation protein EST1 (Ever shorter telomeres protein 1)	EST1 YLR233C L8083.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	699
P32807	P32807	reviewed	KU70_YEAST	ATP-dependent DNA helicase II subunit 1 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku70) (High affinity DNA-binding factor subunit 1)	YKU70 HDF1 NES24 YMR284W YM8021.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602
Q04437	Q04437	reviewed	KU80_YEAST	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku80) (High affinity DNA-binding factor subunit 2) (Yeast Ku80)	YKU80 HDF2 YMR106C YM9718.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	629
Q0P7C9	Q0P7C9	unreviewed	Q0P7C9_YEASX	Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit)	EST2	Saccharomyces cerevisiae (Baker's yeast)	876
